#buildingId(key)	heatingNeeds(Wh)	coolingNeeds(Wh)
8051(1013103):	1.61786e+08	-3.60164e+06
8059(1013118):	1.87468e+08	-4.13045e+06
8062(1013034):	1.01772e+08	-5.93142e+06
8063(1013230):	1.65534e+08	-5.00944e+06
8082(1013131):	6.25912e+07	-7.91867e+06
8088(1012995):	8.00167e+07	-4.37383e+06
8105(1013139):	1.0771e+08	-7.19065e+06
8106(1012894):	6.0764e+07	-1.33012e+07
8107(1013060):	1.01268e+08	-2.70565e+06
8371(2037878):	2.73326e+08	-8.72596e+06
8398(295097181):	1.55262e+06	-198190
8532(1013170):	6.48658e+07	-1.02075e+07
8558(295116926):	1.83509e+08	-6.14268e+06
8584(295081239):	3.08964e+08	-1.22626e+07
8585(295101605):	8.64243e+07	-86664.8
8586(295101867):	6.94931e+07	-62813.5
8595(295080459):	8.50024e+07	-2.29104e+06
8640(1013041):	1.98089e+08	-4.8275e+06
8641(295148996):	7.21049e+07	-3.64977e+06
8644(2038112):	1.12335e+08	-2.3379e+06
8645(1012897):	9.0001e+07	-2.82723e+07
8648(1012929):	9.89939e+07	-2.02198e+07
8653(1013100):	8.07894e+07	-2.48164e+06
8654(2038944):	8.77377e+07	-2.33211e+06
8659(1013110):	1.14909e+08	-4.24042e+06
8660(2038339):	7.45999e+07	-3.32756e+06
8663(1013111):	1.52893e+08	-2.06311e+06
8665(1013228):	7.85588e+07	-1.15638e+07
8666(295010321):	6.85609e+07	-1.87987e+06
8667(2037955):	1.30081e+08	-4.47867e+06
8669(295081234):	1.39457e+08	-858194
8675(1013054):	1.35964e+08	-3.91273e+06
8684(2039592):	7.43066e+07	-1.59686e+06
8689(295095851):	4.54427e+06	-5850.23
8691(295075594):	4.09606e+06	-107749
8695(295087883):	2.64866e+06	-781108
8698(295101590):	2.28635e+06	-77540.5
8701(295103531):	8.64782e+06	-509.283
8716(295097006):	1.48478e+07	-245276
8720(1013033):	1.85286e+08	-4.81542e+06
8734(1013061):	4.38232e+07	-5.35077e+06
8735(1013208):	6.7428e+07	-4.51025e+06
8766(295101747):	8.12042e+06	-782386
8956(1012950):	1.37893e+08	-1.17664e+06
8960(295101596):	3.00905e+08	-1.42731e+07
8976(1013253):	2.1978e+07	-4.4372e+07
8986(1013097):	1.50036e+08	-4.24609e+06
8989(2038401):	8.22114e+08	-3.63909e+07
8993(1013048):	8.26223e+07	-9.5267e+06
8995(1012994):	1.04771e+08	-2.80147e+06
9004(1012923):	9.81737e+07	-2.71619e+06
9016(1013127):	1.11485e+08	-7.21146e+06
9017(1013278):	1.28083e+08	-3.23908e+06
9018(1012872):	1.18308e+08	-1.05981e+07
9032(1012955):	6.32385e+07	-1.18024e+07
9033(1013065):	4.39283e+07	-2.73137e+06
9035(1013073):	8.81442e+07	-7.77234e+06
9043(1012855):	5.2251e+07	-2.22841e+06
9052(1012895):	6.66784e+07	-1.94085e+07
9502(295081616):	8.98965e+07	-1.03662e+07
9510(295082361):	1.55753e+08	-7.1716e+06
9520(2037903):	1.46525e+08	-3.9661e+06
9556(295094870):	1.69614e+08	-2.93838e+06
9559(295082366):	9.66036e+08	-2.7322e+07
9561(295101573):	2.26693e+08	-1.13478e+07
9562(1013243):	2.20069e+08	-7.19928e+06
9606(295087307):	9.7933e+07	-4.70162e+06
9608(1013173):	3.78729e+07	-1.94529e+07
9611(295144190):	1.52215e+08	-4.05008e+06
9612(1013096):	1.51649e+08	-4.36894e+06
9623(2037202):	1.08289e+08	-2.46161e+06
9624(295096279):	1.05096e+06	-126491
9626(1013101):	8.78095e+07	-2.4043e+06
9627(1012982):	8.46485e+07	-2.12747e+06
9628(295095060):	3.33991e+07	-1.34894e+06
9629(1012971):	6.5237e+07	-1.01122e+07
9630(1013038):	7.09261e+07	-5.60153e+06
9634(1013141):	9.625e+07	-7.02283e+06
9637(1012932):	1.09998e+08	-3.53547e+06
9640(1012960):	1.18947e+08	-6.10158e+06
9649(1013066):	1.20469e+08	-2.01518e+06
9657(295084173):	1.29665e+06	-237152
9661(295094622):	3.23082e+06	-175364
9662(295094877):	3.37243e+06	-36069.8
9668(295080451):	4.38021e+06	-620657
9679(295081374):	1.29866e+07	-27775.1
9706(295102956):	1.37521e+06	-32086.7
9718(295129714):	405959	-40001.1
9720(2037215):	4.90933e+07	-2.21449e+06
9726(1013285):	4.21543e+07	-4.57951e+06
9727(295079725):	8.75329e+07	-3.3603e+06
9728(1013241):	8.86145e+07	-2.04861e+06
9745(295079652):	2.6988e+07	-910681
9747(295095160):	1.17289e+07	-578897
9760(295127871):	2.15448e+08	-6.89743e+06
9865(295095132):	4.19935e+06	-292848
9894(295097774):	1.85591e+08	-4.39136e+06
9931(1013267):	5.50149e+07	-2.72699e+06
9935(1013191):	1.12268e+08	-2.58031e+07
9937(1013203):	5.12662e+07	-7.96166e+06
9941(2036986):	6.4067e+08	-1.5963e+07
9943(2039727):	9.75081e+08	-4.10896e+07
9955(1013045):	8.69252e+07	-1.78445e+06
9962(295081246):	1.10098e+07	-525700
9963(295094828):	2.28675e+07	-2.53252e+06
9969(1012871):	1.19132e+08	-9.54848e+06
9996(295113055):	8.13454e+07	-3.13658e+06
9997(1012928):	9.09512e+07	-6.06796e+06
10002(1012998):	6.40602e+07	-1.15906e+07
10004(1012936):	8.57891e+07	-6.26446e+06
10013(1013252):	3.75619e+07	-4.0039e+07
10516(295094779):	4.17059e+06	-439301
10525(1013079):	2.10175e+08	-5.08723e+06
10526(2037904):	1.45086e+08	-2.78932e+06
10527(2039725):	1.25538e+08	-3.36701e+06
10562(1013070):	2.85093e+08	-7.58096e+06
10567(295134826):	2.71117e+08	-9.32456e+06
10618(1012862):	1.36878e+08	-3.31311e+06
10624(1012973):	1.10807e+08	-1.83365e+07
10637(1012904):	8.26029e+07	-4.49305e+06
10638(1013269):	1.37671e+08	-3.64905e+07
10641(1012974):	8.38625e+07	-1.07354e+07
10642(1012868):	1.15729e+08	-1.71366e+07
10647(2037442):	7.49364e+07	-3.14751e+06
10648(1013234):	9.02548e+07	-2.72191e+07
10649(295101806):	9.28638e+06	-635371
