EGID,heatingNeeds(Wh),coolingNeeds(Wh),GBAUP,GASTW,GAREA,GKLAS
1012940,250392000.0,-7948100.0,8011.0,6.0,432.0,1220.0
1013272,180992000.0,-77749800.0,8014.0,9.0,814.0,1122.0
295101746,1424330000.0,-43234200.0,8015.0,5.0,2668.0,1251.0
1013244,116499000.0,-2559140.0,8015.0,2.0,1084.0,1242.0
295101757,20515800.0,-1111020.0,,,,
1012972,75726200.0,-48875700.0,8015.0,9.0,360.0,1122.0
2038226,206515000.0,-9902650.0,8014.0,8.0,391.0,1220.0
2038228,173208000.0,-8002120.0,8013.0,8.0,341.0,1220.0
2039259,77711500.0,-2320210.0,8018.0,7.0,285.0,1122.0
1013116,169479000.0,-3750540.0,8011.0,6.0,302.0,1122.0
1013162,54267700.0,-13599100.0,8014.0,7.0,246.0,1122.0
1013006,83010500.0,-10413300.0,8011.0,7.0,246.0,1122.0
1013089,58087900.0,-15749200.0,8012.0,8.0,242.0,1122.0
1012901,84085100.0,-13882800.0,8012.0,7.0,241.0,1122.0
1013078,86065900.0,-2262720.0,8014.0,5.0,240.0,1122.0
1012887,82435900.0,-6272810.0,8011.0,6.0,219.0,1122.0
1013171,63745600.0,-11007400.0,8012.0,7.0,219.0,1122.0
1012935,75707200.0,-1189770.0,8011.0,4.0,193.0,1122.0
1012926,71348600.0,-3938360.0,8012.0,5.0,191.0,1122.0
295101768,20783000.0,-561685.0,,,,
295094874,20417900.0,-203134.0,8012.0,1.0,113.0,1251.0
295081038,921531.0,-85800.1,,,,
295096734,23248900.0,-2464390.0,,,,
295102915,704040.0,-57105.4,,,,
295103581,50510700.0,-922381.0,8014.0,1.0,170.0,1263.0
1012954,113096000.0,-4935380.0,8012.0,7.0,168.0,1122.0
295076504,15652900.0,-479850.0,8020.0,2.0,124.0,1110.0
2038842,31923600.0,-820181.0,8013.0,3.0,156.0,1220.0
1012938,99148900.0,-2554180.0,8012.0,6.0,171.0,1122.0
295168134,6909480.0,-296576.0,,,,
295080445,6478910.0,-216697.0,,,,
1013105,66284800.0,-3786000.0,8011.0,6.0,168.0,1122.0
2039726,93259300.0,-1636390.0,8011.0,6.0,163.0,1122.0
1012999,243755000.0,-4800440.0,8012.0,4.0,617.0,1265.0
1013076,76584600.0,-1090070.0,8011.0,6.0,148.0,1122.0
1013151,49392700.0,-132748000.0,8014.0,13.0,326.0,1122.0
1013182,68346400.0,-53113500.0,8014.0,10.0,326.0,1122.0
1013181,95699600.0,-36065400.0,8014.0,9.0,323.0,1122.0
1013040,159971000.0,-6524080.0,8012.0,5.0,315.0,1122.0
2037894,406135000.0,-8911790.0,8014.0,2.0,1538.0,1261.0
1013072,83156900.0,-11686200.0,8011.0,7.0,176.0,1122.0
1013046,80642400.0,-1629780.0,8011.0,6.0,138.0,1122.0
1012933,87465900.0,-2275450.0,8011.0,4.0,161.0,1122.0
1012914,60299500.0,-3547530.0,8011.0,5.0,150.0,1122.0
1012996,113735000.0,-1672320.0,8011.0,5.0,205.0,1122.0
1012890,76096800.0,-13616300.0,8012.0,7.0,230.0,1122.0
1012884,85217300.0,-8397940.0,8011.0,6.0,231.0,1122.0
295164553,310053000.0,-7825190.0,,,,
1012964,72030300.0,-10085900.0,8019.0,6.0,328.0,1122.0
1012854,35329100.0,-1662020.0,8016.0,4.0,159.0,1122.0
295080528,89945300.0,-2237850.0,,,,
1012924,148153000.0,-4344840.0,8017.0,3.0,571.0,1110.0
1013222,121002000.0,-52740800.0,8013.0,8.0,550.0,1122.0
2037899,319773000.0,-18718000.0,,,500.0,
1013176,374543000.0,-13177100.0,8014.0,11.0,871.0,1122.0
1013126,133844000.0,-16260600.0,8011.0,7.0,318.0,1122.0
1013183,82022200.0,-32736200.0,8013.0,9.0,317.0,1122.0
295087346,14017600.0,-990806.0,,,,
1013010,149608000.0,-13373800.0,8011.0,6.0,316.0,1122.0
1012946,88871500.0,-4099670.0,8014.0,9.0,316.0,1122.0
1012867,81545800.0,-18465300.0,8015.0,7.0,311.0,1122.0
1013212,193163000.0,-9335740.0,8012.0,5.0,307.0,1122.0
2038338,73768200.0,-1718040.0,8014.0,2.0,304.0,1220.0
2037884,18126600.0,-847957.0,8014.0,1.0,264.0,1230.0
2037888,10786500.0,-1536840.0,8014.0,1.0,263.0,1230.0
295094178,879561000.0,-89482500.0,8014.0,19.0,885.0,1220.0
295094208,272493000.0,-16321700.0,8014.0,1.0,978.0,1251.0
1013035,121891000.0,-1958360.0,8013.0,5.0,301.0,1122.0
1012877,153765000.0,-15909800.0,8021.0,7.0,470.0,1122.0
1013179,120794000.0,-8034730.0,8012.0,6.0,260.0,1122.0
1013168,68846100.0,-13001500.0,8012.0,7.0,244.0,1122.0
295080486,52125200.0,-4735100.0,,,,
1012997,71038200.0,-10626100.0,8012.0,7.0,216.0,1122.0
295080442,34546900.0,-3629880.0,8014.0,2.0,185.0,1252.0
1013104,101132000.0,-2085510.0,8011.0,7.0,182.0,1122.0
295096983,55152400.0,-628256.0,8012.0,1.0,275.0,1251.0
295101248,10889800.0,-68299.5,,,,
1012910,59485300.0,-2263360.0,8012.0,5.0,106.0,1122.0
295081421,946978.0,-112352.0,,,,
