timestamp,h_day,G_Dh_min,G_Dh_mean,G_Dh_var,G_Bn_min,G_Bn_mean,G_Bn_var,Ta_min,Ta_mean,Ta_var,FF_min,FF_mean,FF_var,DD_min,DD_mean,DD_var
2017-09-05,13.0,0.0,97.20833333333333,135.36295144236627,0.0,12.833333333333334,28.002587872127673,18.0,20.916666666666664,2.4722224936220885,0.8,1.9625000000000004,0.6939568336406247,27.0,149.20833333333334,82.86499190887531
2017-09-06,13.0,0.0,104.375,124.0346419001738,0.0,106.79166666666667,212.71535975420844,14.2,18.670833333333334,3.2174090530258583,0.6,1.3916666666666668,0.5123828957762524,2.0,99.33333333333333,85.01849756103805
2017-09-07,13.0,0.0,85.875,104.19810250296015,0.0,26.0,59.66427814829006,12.7,15.591666666666669,1.5866060760565972,1.4,3.141666666666666,1.1232393630329496,14.0,125.625,108.66894780658964
2017-09-08,13.0,0.0,47.875,59.18013216847576,0.0,0.0,0.0,13.1,16.370833333333334,1.623865267131821,2.9,6.120833333333334,2.735273480749732,13.0,146.83333333333334,107.28088555654777
2017-09-09,13.0,0.0,81.54166666666667,106.50943177940165,0.0,58.208333333333336,156.9613575171392,10.4,13.0375,1.776614391378212,1.5,2.5541666666666667,0.6626555054027542,67.0,231.0,68.65920882534068
2017-09-10,13.0,0.0,94.41666666666667,116.23099813533491,0.0,180.16666666666666,213.60460560632086,6.8,12.775,4.149515424826081,0.5,2.1958333333333333,1.0246862368832574,29.0,150.16666666666666,77.41006937459564
2017-09-11,13.0,0.0,113.45833333333333,141.79040844689115,0.0,97.875,122.00830780694011,6.5,11.1875,3.197595903990589,0.3,4.083333333333333,2.7644744239330032,21.0,126.83333333333333,90.57625500656611
2017-09-12,13.0,0.0,108.95833333333333,134.06146519143883,0.0,28.791666666666668,45.214444754887275,7.9,11.858333333333333,2.8545793365057834,0.4,2.8249999999999997,2.3873306905594283,17.0,212.04166666666666,81.63145129531699
2017-09-13,13.0,0.0,105.33333333333333,132.64456155510084,0.0,16.083333333333332,23.896364407249443,8.7,12.170833333333334,2.2999960617483617,0.8,2.0541666666666663,0.8086376985623609,11.0,123.33333333333333,83.33466665600017
2017-09-14,13.0,0.0,93.0,120.60247311618087,0.0,163.41666666666666,226.55029514852555,11.1,17.116666666666667,4.682963263526228,1.5,4.520833333333333,2.4819310796349625,3.0,214.58333333333334,79.43655749506436
